ts,n,concurrency,send_elapsed_ms,converge_elapsed_ms,post_send_converge_ms,relay_p50,relay_p95,relay_p99,relay_avg,relay_max,cons_p50,cons_p95,cons_p99,cons_avg,cons_max,e2e_p50,e2e_p95,e2e_p99,e2e_avg,e2e_max
2026-08-07T17:42:34+09:00,5000,10,124508,125055,547,204,881,2146,300,3931,32,165,441,55,2686,236,1116,2431,355,3986
2026-08-07T17:44:27+09:00,5000,25,111062,111574,512,434,1499,2570,585,4106,33,141,273,47,1212,488,1561,2762,632,4445
2026-08-07T17:46:35+09:00,5000,50,126494,127058,564,701,3509,5476,1127,9667,34,105,180,41,813,745,3560,5510,1169,9737
2026-08-07T17:49:23+09:00,5000,75,166050,167216,1166,1106,4769,8195,1683,14509,41,132,257,53,1994,1160,4815,8302,1736,14514
2026-08-07T17:54:17+09:00,5000,100,290993,292054,1061,2331,9269,14356,3363,28297,69,308,596,102,2037,2420,9482,14477,3465,28472
