ts,n,concurrency,send_elapsed_ms,converge_elapsed_ms,post_send_converge_ms,relay_p50,relay_p95,relay_p99,relay_avg,relay_max,cons_p50,cons_p95,cons_p99,cons_avg,cons_max,e2e_p50,e2e_p95,e2e_p99,e2e_avg,e2e_max
2026-08-07T18:21:40+09:00,5000,10,102827,103322,495,155,631,1338,265,5093,164,438,1069,196,3631,439,988,2118,460,5237
2026-08-07T18:23:20+09:00,5000,25,99225,99805,580,418,1406,2005,526,3591,154,400,620,167,1005,589,1594,2188,693,3621
2026-08-07T18:25:03+09:00,5000,50,100211,100837,626,629,2701,4157,913,7557,139,363,463,152,983,776,2842,4315,1065,7736
2026-08-07T18:27:13+09:00,5000,75,128984,129614,630,916,3613,5990,1322,14601,173,383,488,178,1180,1083,3801,6177,1499,14831
2026-08-07T18:29:24+09:00,5000,100,128975,129484,509,1073,3945,6307,1480,12202,171,356,446,175,667,1237,4094,6494,1654,12449
