ts,n,concurrency,send_elapsed_ms,converge_elapsed_ms,post_send_converge_ms,relay_p50,relay_p95,relay_p99,relay_avg,relay_max,cons_p50,cons_p95,cons_p99,cons_avg,cons_max,e2e_p50,e2e_p95,e2e_p99,e2e_avg,e2e_max
2026-02-07T20:29:45+09:00,5000,10,89612,90200,588,139,397,845,175,1498,22,236,467,53,1584,162,619,1104,228,1778
2026-02-07T20:31:33+09:00,5000,25,106233,106863,630,285,739,1020,342,2493,36,327,584,73,877,339,898,1171,415,2507
2026-02-07T20:33:31+09:00,5000,50,115811,116623,812,516,1540,2353,653,4138,28,138,286,43,582,558,1608,2496,697,4186
2026-02-07T20:35:32+09:00,5000,75,119194,119867,673,686,1852,2671,832,4472,31,261,580,64,968,751,1946,2731,896,4473
2026-02-07T20:37:52+09:00,5000,100,138413,138888,475,804,2049,3245,960,4753,40,342,596,80,817,886,2127,3459,1040,4901
