ts,n,concurrency,send_elapsed_ms,converge_elapsed_ms,post_send_converge_ms,relay_p50,relay_p95,relay_p99,relay_avg,relay_max,cons_p50,cons_p95,cons_p99,cons_avg,cons_max,e2e_p50,e2e_p95,e2e_p99,e2e_avg,e2e_max
2026-02-07T20:17:40+09:00,5000,10,98672,99241,569,143,531,949,195,1874,27,293,424,67,1739,176,686,1171,261,1947
2026-02-07T20:19:09+09:00,5000,25,88057,88508,451,251,610,808,293,2068,36,361,481,86,813,306,775,988,379,2077
2026-02-07T20:20:38+09:00,5000,50,87100,87641,541,455,1244,1729,557,3799,23,280,561,57,909,505,1323,1849,614,4309
2026-02-07T20:22:23+09:00,5000,75,103473,103942,469,647,1626,2428,784,3978,40,354,514,96,892,774,1853,2500,880,3986
2026-02-07T20:23:52+09:00,5000,100,87711,88239,528,682,1540,2264,789,4050,21,187,405,42,703,724,1596,2304,831,4046
